bat_speed_ms,offset_mm,ev_mph,la_deg,spin_rpm,distance_m
26.0,-30.0,81.92838922802812,-32.681971778163465,5140.906700850593,1.9569733159172078
26.0,-27.5,82.70774046429379,-29.066591436098744,4740.713324640799,2.031999671553185
26.0,-25.0,83.40500297684402,-25.53768388826367,4341.907770569413,2.0987861989907852
26.0,-22.5,84.02325567928808,-22.08346102371762,3944.6862851395786,2.225897074326621
26.0,-20.0,84.56511351839421,-18.693570589258496,3549.34900244961,2.560115903022437
26.0,-17.5,85.03277767588655,-15.358810907815094,3156.359946262448,3.0429023943582205
26.0,-15.0,85.42807576533697,-12.070903836893656,2766.4570287496545,3.677737523001496
26.0,-12.5,85.75249384411947,-8.822311036916782,2380.8659545085325,4.684758288431841
26.0,-10.0,86.00720160369293,-5.606082598566022,2001.7478673314233,6.282681906706062
26.0,-7.5,86.19307175574319,-2.415729847394835,1633.2228606461747,9.183353565651434
26.0,-5.0,86.3106943636118,0.7548839206745914,1283.9555248760335,14.372479994483681
26.0,-2.5,86.36038665442395,3.9116396685614214,974.2417519566432,22.668441293357965
26.0,0.0,86.342198670249,7.060249776663871,753.6762373741859,34.35894861145859
26.0,2.5,86.25591496345383,10.206339477009907,709.9220983538052,48.64703171105358
26.0,5.0,86.10105240168033,13.355525534255882,869.3896860913906,64.20650187671379
26.0,7.5,85.87685401253948,16.51349497419406,1149.9461649775446,77.33831900127568
26.0,10.0,85.58227865855888,19.686086676475497,1484.0452624134655,87.5661406498406
26.0,12.5,85.2159861801538,22.879378853545976,1842.456755699132,95.37883418164441
26.0,15.0,84.7763174680508,26.09978585519319,2213.1157527850132,100.84219622437499
26.0,17.5,84.26126871385627,29.354168414395748,2590.519042403622,103.9075355842036
26.0,20.0,83.6684588215074,32.64996246342956,2971.870398535324,104.54963394968105
26.0,22.5,82.9950886201628,35.995333121405594,3355.612582457546,102.77161104626416
26.0,25.0,82.23789006826973,39.3993625715241,3740.809645631392,98.58059952414564
26.0,27.5,81.39306303219192,42.87228358887475,4126.860988474321,92.08486410607053
26.0,30.0,80.45619639161184,46.42577486657289,4513.357608780076,83.43532675854102
30.0,-30.0,90.67568767480522,-30.50479765300499,5437.2590272566895,2.158975768656549
30.0,-27.5,91.69365651729952,-27.073034463580967,5012.122119444255,2.238195260489302
30.0,-25.0,92.60499342655086,-23.725030754600787,4588.333118834779,2.308709581683118
30.0,-22.5,93.4140801988654,-20.44921913084958,4166.078861604121,2.4474932775693086
30.0,-20.0,94.1246332588166,-17.23548620905995,3745.6466647980524,2.818616466611711
30.0,-17.5,94.73978317952282,-14.07487833536159,3327.482917359231,3.2752019535054964
30.0,-15.0,95.26213791806387,-10.959369273025363,2912.30122189399,3.9801987828712337
30.0,-12.5,95.69383296455875,-7.881673588631775,2501.294580594073,5.100187422869564
30.0,-10.0,96.03657077510238,-4.835093956305083,2096.585040426165,7.041390841924658
30.0,-7.5,96.29165124506922,-1.813393677269273,1702.2709640079786,10.505004176518407
30.0,-5.0,96.45999451376646,1.1893121618195253,1327.1508976017126,16.712536837134493
30.0,-2.5,96.54215702825765,4.178651996663103,992.5660684827135,26.628922373047647
30.0,0.0,96.5383415008812,7.160083655194071,753.6762373741859,40.72855939981276
30.0,2.5,96.44840114758624,10.138974215589561,713.1540507588411,57.83498464910295
30.0,5.0,96.27183837408451,13.120676869739041,897.5575774612831,76.70002579357387
30.0,7.5,96.00779786841412,16.11060761643679,1207.4038971497423,92.10128739676364
30.0,10.0,95.65505384757738,19.11432461073675,1569.6979354017963,103.5549558506953
30.0,12.5,95.211990977947,22.13761319452886,1955.169582621621,112.07808767687426
30.0,15.0,94.67657822778307,25.186580051768754,2352.1686724363776,117.82613946339522
30.0,17.5,94.04633459538705,28.267760619202242,2755.4674562033183,120.8496787530446
30.0,20.0,93.31828526184168,31.388244923606475,3162.4302947117344,121.10725563159379
30.0,22.5,92.48890620681289,34.55582854262694,3571.5949110264155,118.62205241979082
30.0,25.0,91.55405464821949,37.779197605640036,3982.083804570084,113.48131115406794
30.0,27.5,90.50888174678204,41.06815998651336,4393.333909398273,105.80850127102137
30.0,30.0,89.34772274259363,44.43393959721935,4804.961296001289,95.76847262178605
34.0,-30.0,99.48609308234272,-28.717551661836946,5733.741377983154,2.3597006074201246
34.0,-27.5,100.72401365836848,-25.44143507684951,5283.674916871448,2.443060038311707
34.0,-25.0,101.8323765453469,-22.24540984333104,4834.92013619193,2.5172542116470176
34.0,-22.5,102.81685730003956,-19.118327868130027,4387.6551562449,2.5824174218166474
34.0,-20.0,103.68226068515088,-16.05046946431858,3942.1553263613355,2.9881019282000367
