game,innings,R_home,R_away,H_home,H_away,HR_home,HR_away,BB_home,BB_away,K_home,K_away,E_home,E_away,pitches_home,pitches_away,starter_IP_home,starter_IP_away,line_home,line_away
1061,9,4,8,9,12,1,2,1,3,13,5,0,0,153,178,6.0,7.0,0 1 0 1 0 0 0 1 1,2 2 2 0 0 1 1 0 0
1062,11,1,2,8,7,0,0,0,1,22,16,0,0,172,176,7.0,6.0,0 1 0 0 0 0 0 0 0 0 0,0 0 1 0 0 0 0 0 0 0 1
1063,9,5,7,12,14,0,0,1,4,7,10,0,2,158,158,5.0,5.0,0 3 0 0 1 0 0 0 1,0 0 4 2 1 0 0 0 0
1064,9,12,13,14,16,1,2,2,4,12,8,2,2,175,181,5.0,5.0,2 0 2 2 3 0 3 0 0,1 1 0 5 2 0 0 2 2
1065,9,15,1,21,4,2,1,1,2,7,8,0,1,194,148,7.0,5.0,6 0 1 0 3 0 0 3 2,0 1 0 0 0 0 0 0 0
1066,9,2,5,7,9,1,2,7,4,6,10,1,0,165,167,6.0,5.0,0 0 1 0 0 0 0 0 1,2 1 0 0 0 0 0 1 1
1067,9,1,2,6,10,0,1,0,1,7,9,1,0,115,141,7.0,8.0,0 0 0 0 0 0 1 0 0,0 0 0 0 2 0 0 0 0
1068,9,8,5,9,11,2,1,4,1,9,10,0,1,149,168,5.0,5.0,0 1 3 0 0 0 3 1 0,0 0 1 0 1 0 1 0 2
1069,9,14,1,21,6,3,1,1,2,11,8,0,2,183,137,7.0,6.0,4 2 3 0 0 0 2 0 3,0 0 0 0 0 0 0 1 0
1070,9,9,5,12,11,2,2,2,3,11,5,0,3,168,144,7.0,5.0,1 0 0 4 1 0 3 0 0,1 0 2 0 0 0 2 0 0
1071,10,4,6,9,14,1,1,2,3,10,12,0,2,184,169,6.0,4.0,0 3 1 0 0 0 0 0 0 0,0 0 0 0 0 2 0 0 2 2
1072,9,6,4,9,7,1,1,1,5,6,7,0,2,157,162,6.0,6.0,0 1 0 3 0 0 1 1 0,0 0 0 0 2 0 0 0 2
1073,9,0,1,5,8,0,1,3,1,16,11,1,0,154,132,7.0,7.0,0 0 0 0 0 0 0 0 0,0 0 0 0 1 0 0 0 0
1074,9,0,9,4,12,0,3,2,3,11,7,1,1,133,159,5.0,6.0,0 0 0 0 0 0 0 0 0,1 1 0 3 3 0 0 0 1
1075,9,2,1,4,4,0,0,1,1,11,11,1,1,125,135,7.0,8.0,1 1 0 0 0 0 0 0 0,0 0 0 0 0 1 0 0 0
1076,9,5,0,6,3,1,0,7,2,9,9,0,1,145,119,7.0,5.0,1 0 0 0 3 0 0 1 0,0 0 0 0 0 0 0 0 0
1077,9,12,2,12,8,2,1,5,8,9,6,0,2,187,141,6.0,4.0,0 2 6 2 0 0 0 1 1,0 0 2 0 0 0 0 0 0
1078,9,5,13,9,16,1,3,0,5,6,8,2,1,139,186,6.0,6.0,0 3 0 1 0 0 0 0 1,0 0 0 0 2 3 2 5 1
1079,9,0,6,3,10,0,1,4,3,9,8,0,1,141,155,6.0,6.0,0 0 0 0 0 0 0 0 0,0 1 0 0 0 4 1 0 0
1080,9,6,3,8,4,0,1,9,5,8,11,3,1,159,158,6.0,5.0,0 2 0 0 4 0 0 0 0,2 1 0 0 0 0 0 0 0
1081,9,5,3,6,9,0,0,6,1,7,14,1,1,136,122,7.0,7.0,0 0 0 0 0 3 0 0 2,0 0 2 0 0 0 1 0 0
1082,9,1,6,9,7,0,1,4,2,13,8,0,1,164,128,6.0,6.0,0 0 0 0 0 0 0 1 0,0 1 0 0 5 0 0 0 0
1083,9,3,4,10,10,0,3,1,2,12,8,1,0,137,151,6.0,6.0,1 0 1 0 0 1 0 0 0,0 2 0 0 0 0 1 1 0
1084,11,3,4,5,10,0,0,6,1,6,5,2,1,161,156,9.0,8.0,0 0 0 0 0 0 0 2 0 0 1,0 0 0 2 0 0 0 0 0 0 2
1085,9,7,4,12,8,0,1,6,5,1,14,1,0,174,180,5.0,7.0,4 0 0 0 0 0 3 0 0,0 0 0 0 1 1 0 0 2
1086,9,2,1,7,6,0,0,2,6,10,15,0,1,148,154,6.0,7.0,0 0 1 1 0 0 0 0 0,0 1 0 0 0 0 0 0 0
1087,9,9,1,12,6,0,1,7,0,12,13,1,1,197,118,8.0,5.0,2 0 0 2 4 0 1 0 0,0 0 1 0 0 0 0 0 0
1088,9,0,3,2,5,0,1,3,0,10,8,1,0,128,121,8.0,7.0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 3 0
1089,9,8,11,13,12,0,2,9,4,8,4,1,0,194,147,5.0,6.0,0 1 0 0 0 6 0 0 1,0 3 0 4 4 0 0 0 0
1090,10,4,5,8,16,1,0,0,0,7,12,0,1,149,165,6.0,8.0,0 1 0 0 0 1 0 0 2 0,0 1 0 0 0 0 0 1 2 1
1091,9,3,2,6,9,2,0,2,4,6,11,0,1,148,158,6.0,7.0,0 0 0 0 0 1 2 0 0,0 0 0 0 0 2 0 0 0
1092,9,6,3,10,9,0,0,2,2,13,5,0,1,157,143,5.0,6.0,0 0 0 0 2 0 3 0 1,2 0 1 0 0 0 0 0 0
1093,9,5,11,8,19,2,0,1,4,4,7,1,0,117,205,6.0,9.0,0 0 0 0 0 0 0 0 5,0 0 0 0 2 3 4 1 1
1094,9,5,1,5,8,0,0,6,1,8,8,0,1,151,126,7.0,8.0,0 0 0 0 0 0 0 5 0,0 0 0 1 0 0 0 0 0
1095,9,1,8,6,10,0,1,3,5,6,3,1,1,127,151,7.0,8.0,0 0 0 0 0 1 0 0 0,0 0 0 0 0 1 2 0 5
1096,9,2,1,11,7,0,0,3,1,9,7,0,0,160,127,7.0,6.0,1 0 0 0 0 0 1 0 0,0 1 0 0 0 0 0 0 0
1097,9,3,4,10,13,0,2,4,0,4,8,0,1,157,157,7.0,6.0,0 0 0 0 3 0 0 0 0,0 0 0 0 0 0 0 0 4
1098,10,1,3,6,12,0,0,3,2,10,6,0,0,149,148,8.0,8.0,0 0 0 0 0 0 0 0 1 0,0 0 0 0 0 0 0 1 0 2
1099,9,1,10,8,18,1,0,2,1,3,5,1,0,139,166,4.0,6.0,0 0 0 0 0 0 0 0 1,4 2 2 0 0 1 0 0 1
