card,bat_speed_ms,reaction_time_s,timing_sigma_ms,vertical_sigma_mm,m_eff_kg,K%,BB%,H%,HR%,whiff%,EV,LA,power_swing%,take_to_learn,check_swing
컨택형,31.9,0.132,4.3,8.4,0.6,3.3,15.0,26.7,0.0,6.7,83.1,1.8,60.0,74,10
파워형,34.6,0.156,8.0,16.0,0.77,8.3,4.2,35.8,12.5,24.3,94.6,-3.4,80.8,9,9
